,TRUE,Pre,Error,True070414,True070409,True07040430,true3625,pred3625,error3625,true3859,pred3859,error3859
7576,0,0.24936,0.24936,0,0,0,0,0.10888294,0.10888294130563736,0,0.2494269,0.24942690134048462
7577,3,0.00084,3.00084,1,0,2,0,0.6332386,0.6332386136054993,1,1.3203486,0.3203486204147339
7578,1,0.0051,1.0051,0,0,0,0,0.065380886,0.06538088619709015,0,0.18003908,0.18003907799720764
7579,6,2.81997,3.18003,4,3,0,1,1.0296452,0.029645204544067383,3,2.5604162,0.43958377838134766
7580,4,3.89181,0.10819000000000001,4,7,0,1,1.1465774,0.1465773582458496,5,4.148651,0.851348876953125
7581,0,0.40952,0.40952,0,0,0,1,0.34411818,0.6558818221092224,0,0.2987375,0.298737496137619
7582,2,1.40329,0.5967100000000001,1,0,0,1,0.22424789,0.7757521122694016,5,1.392204,3.6077959537506104
7583,5,5.0262400000000005,0.02624,4,4,1,1,1.8991657,0.8991657495498657,5,5.0944567,0.09445667266845703
7584,2,0.00015,2.00015,1,0,0,0,0.460355,0.4603550136089325,1,1.0119277,0.01192772388458252
7585,4,1.72373,2.2762700000000002,3,9,1,1,1.9454201,0.9454201459884644,7,5.9785304,1.0214695930480957
7586,0,0.9043700000000001,0.9043700000000001,4,0,0,0,1.0291061,1.0291061401367188,3,2.7796586,0.22034144401550293
7587,3,2.0579400000000003,0.94206,13,3,0,1,2.5333815,1.533381462097168,3,8.032166,5.03216552734375
7588,0,0.00109,0.00109,0,0,0,0,0.34716123,0.3471612334251404,0,0.73010063,0.7301006317138672
7589,8,3.6495300000000004,4.35047,13,10,1,2,4.504212,2.504211902618408,12,12.166063,0.1660633087158203
7590,2,0.13855,1.86145,0,0,0,0,0.15945773,0.159457728266716,0,0.19447032,0.19447031617164612
7591,0,0.014819999999999998,0.014819999999999998,0,0,0,0,0.0,0.0,0,0.0,0.0
7592,3,0.00242,3.00242,1,1,0,3,0.85025036,2.1497496366500854,1,0.16647606,0.8335239440202713
7593,0,2.6545400000000003,2.6545400000000003,1,4,2,1,1.5298158,0.5298157930374146,3,2.8625124,0.13748764991760254
7594,2,0.0015400000000000001,2.0015400000000003,0,0,0,0,0.12544006,0.1254400610923767,0,0.39250857,0.3925085663795471
7595,3,3.9384900000000003,0.9384899999999999,6,2,0,1,2.197893,1.1978929042816162,6,5.4798083,0.5201916694641113
7596,4,1.72049,2.2795099999999997,2,4,1,0,1.0761669,1.0761668682098389,1,1.9854668,0.9854668378829956
7597,0,0.44021000000000005,0.44021000000000005,0,1,0,2,0.53881717,1.4611828327178955,1,0.41494593,0.5850540697574615
